recom_date,dataframe,user_film,film_index,recommended_films,recommended_ratings,satisfaction,similarity
202305271809,processed_films_202305202210.csv,Avatar,139,"[""Star Wars : Episode V - L'Empire contre-attaque"", 'Star Wars : Episode IV - Un nouvel espoir (La Guerre des etoiles)', 'Alien, le huitieme passager', ""Avatar : la voie de l'eau"", 'Terminator 2 : le Jugement Dernier']","[5.0, 4.8, 4.4, 4.1, 3.8]",Y,"[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]"
202305271852,processed_films_202305202210.csv,Avatar,139,"[""Star Wars : Episode V - L'Empire contre-attaque"", 'Star Wars : Episode IV - Un nouvel espoir (La Guerre des etoiles)', 'Alien, le huitieme passager', ""Avatar : la voie de l'eau"", 'Terminator 2 : le Jugement Dernier']","[5.0, 4.8, 4.4, 4.1, 3.8]",Y,"[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]"
202305271926,processed_films_202305202210.csv,Coco,27,"['Vice Versa', 'La-haut', 'Soul', 'Your Name', 'Dragons']","[4.7, 4.6, 4.3, 4.0, 3.9]",Y,"[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]"
202305292301,processed_films_202305202210.csv,Avatar,139,"[""Star Wars : Episode V - L'Empire contre-attaque"", 'Star Wars : Episode IV - Un nouvel espoir (La Guerre des etoiles)', 'Alien, le huitieme passager', ""Avatar : la voie de l'eau"", 'Terminator 2 : le Jugement Dernier']","[5.0, 4.8, 4.4, 4.1, 3.8]",Y,"[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]"
202305292308,processed_films_202305202210.csv,Avatar,139,"[""Star Wars : Episode V - L'Empire contre-attaque"", 'Star Wars : Episode IV - Un nouvel espoir (La Guerre des etoiles)', 'Alien, le huitieme passager', ""Avatar : la voie de l'eau"", 'Terminator 2 : le Jugement Dernier']","[5.0, 4.8, 4.4, 4.1, 3.8]","[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]",Y
202305292308,processed_films_202305202210.csv,Coco,27,"['Vice Versa', 'La-haut', 'Soul', 'Your Name', 'Dragons']","[4.7, 4.6, 4.3, 4.0, 3.9]","[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]",N
202305292312,processed_films_202305202210.csv,Forrest Gump,0,"['Barry Lyndon', 'Mirage de la vie', 'Je veux manger ton pancreas', 'The Normal Heart', 'Breve Rencontre']","[5.0, 4.3, 4.3, 4.3, 4.2]","[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]",n
202305292319,processed_films_202305202210.csv,Avatar,139,"[""Star Wars : Episode V - L'Empire contre-attaque"", 'Star Wars : Episode IV - Un nouvel espoir (La Guerre des etoiles)', 'Alien, le huitieme passager', ""Avatar : la voie de l'eau"", 'Terminator 2 : le Jugement Dernier']","[5.0, 4.8, 4.4, 4.1, 3.8]","[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]",Y
202305292321,processed_films_202305202210.csv,Coco,27,"['Vice Versa', 'La-haut', 'Soul', 'Your Name', 'Dragons']","[4.7, 4.6, 4.3, 4.0, 3.9]","[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]",N
202305292330,processed_films_202305202210.csv,Django Unchained,14,"[""Vol au-dessus d'un nid de coucou"", 'The Normal Heart', 'Little Big Man', 'Shutter Island', 'Inglourious Basterds']","[5.0, 4.3, 4.2, 3.8, 3.7]","[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]",N
202305292331,processed_films_202305202210.csv,Dune,220,"['Les Affranchis', 'Titanic', ""HEIMAT II - L'exode"", 'Illusions Perdues', 'Incendies']","[5.0, 4.9, 4.2, 4.0, 3.8]","[[1.         0.03413944 0.03774257 ... 0.03580574 0.06827887 0.11766968]
 [0.03413944 1.         0.         ... 0.         0.03030303 0.        ]
 [0.03774257 0.         1.         ... 0.03513642 0.         0.        ]
 ...
 [0.03580574 0.         0.03513642 ... 1.         0.         0.        ]
 [0.06827887 0.03030303 0.         ... 0.         1.         0.06963106]
 [0.11766968 0.         0.         ... 0.         0.06963106 1.        ]]",Y
